pair_index,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,latent_band,in_targeted,in_balanced,M_TOP_new,M_BOT_new,F_TOP_new,F_BOT_new,BB_MINUS_TT_new,M_TOP_frozen,M_BOT_frozen,delta_top,delta_bot
0,data/1_2024/shard-000477.tar,6503,START,medium,29,111,140,396,-41,2to4,true,false,0.00040368735790252686,0.0063965320587158203,0,0,-0.006774216890335083,0.000403687357903,0.0063965320587200001,-4.7314582807267414e-16,-4.1798162153661167e-15
1,data/1_2024/shard-000477.tar,13503,END,mild,21,88,109,365,-33.5,2to4,true,true,0.00043080002069473267,0.003637164831161499,0,0,0.026745520532131195,0.00043080002069499998,0.0036371648311599998,-2.6731004562630112e-16,1.4992347641129555e-15
2,data/1_2024/shard-000477.tar,16375,END,mild,19,87,106,362,-34,2to4,true,true,0.0051891803741455078,0.0030908957123756409,0,0,-0.020439065992832184,0.0051891803741499999,0.0030908957123799998,-4.492066441041942e-15,-4.358926414260722e-15
3,data/1_2024/shard-000477.tar,30375,START,medium,21,111,132,388,-45,2to4,true,true,0.0016152597963809967,0.020303666591644287,0,0,-0.014746543020009995,0.0016152597963800001,0.0203036665916,9.9659863694867568e-16,4.4287490341687885e-14
4,data/1_2024/shard-000477.tar,50375,START,medium,51,105,156,412,-27,lt2,false,true,0.00023718923330307007,-0.00070168823003768921,0,0,-0.027758285403251648,0.000237189233303,-0.00070168823003800005,7.0066565396875724e-17,3.1084076285159412e-16
5,data/1_2024/shard-000477.tar,83503,END,mild,3,94,97,353,-45.5,2to4,true,false,0.0017041563987731934,0.001644134521484375,0,0,-0.0099304020404815674,0.00170415639877,0.00164413452148,3.1934090788388048e-15,4.3749726064135075e-15
6,data/1_2024/shard-000477.tar,84503,START,mild,1,95,96,352,-47,2to4,true,false,0.0029081255197525024,0.0075055956840515137,-1.6242265701293945e-06,0,0.0053357332944869995,0.0029097497463199998,0.0075141638517399996,-1.6242265674973853e-06,-8.5681676884859573e-06
7,data/1_2024/shard-000477.tar,117375,END,mild,5,80,85,341,-37.5,2to4,true,false,0.014482475817203522,0.0083085261285305023,0,0,0.022638075053691864,0.0144824758172,0.0083085261285299992,3.5214886562329184e-15,5.0306980803327406e-16
8,data/1_2024/shard-000477.tar,117503,END,medium,45,103,148,404,-29,lt2,false,true,0.0032449066638946533,0.0024207308888435364,0,0,-0.03477787971496582,0.0032449066638899999,0.0024207308888400001,4.653395724307785e-15,3.5362338057787213e-15
9,data/1_2024/shard-000477.tar,121375,START,medium,22,133,155,411,-55.5,2to4,true,true,0.0024713426828384399,0.0019191130995750427,0,0,-0.018745921552181244,0.0024713426828399999,0.0019191130995799999,-1.5599500857721438e-15,-4.9571891730382234e-15
10,data/1_2024/shard-000477.tar,124375,START,mild,11,80,91,347,-34.5,2to4,true,false,0.0033072754740715027,0.001444794237613678,0,0,0.057755067944526672,0.00330727547407,0.0014447942376099999,1.5027042110649091e-15,3.6780474499398252e-15
11,data/1_2024/shard-000477.tar,124503,END,mild,4,65,69,325,-30.5,lt2,false,true,0.0022469833493232727,0.0088037624955177307,0,0,0.014251872897148132,0.0022469833493200001,0.0088037624955199997,3.2725558374302466e-15,-2.2690183065776637e-15
12,data/1_2024/shard-000477.tar,133375,START,medium,26,166,192,448,-70,ge4,true,true,0.0065462663769721985,0.0049926042556762695,0,0,0.02620416134595871,0.0065462663769699997,0.0049926042556800001,2.198762005800603e-15,-3.7305228350881237e-15
13,data/1_2024/shard-000477.tar,169503,START,mild,7,99,106,362,-46,2to4,true,true,0.0040694177150726318,0.0019831061363220215,0,0,0.0054037272930145264,0.0040694177150700003,0.0019831061363200001,2.6315755130568164e-15,2.0213865303819745e-15
14,data/1_2024/shard-000477.tar,172375,END,mild,0,103,103,359,-51.5,2to4,true,false,0.0039484798908233643,0.0012571066617965698,0,0,-0.036265775561332703,0.0039484798908199998,0.0012571066618,3.3644961816570174e-15,-3.4301988333096389e-15
15,data/1_2024/shard-000477.tar,177503,END,medium,28,118,146,402,-45,2to4,true,false,0.00067427754402160645,-0.0097048431634902954,0,0,0.00047509372234344482,0.00067427754402200001,-0.0097048431634900005,-3.9356538861223811e-16,-2.9490299091605721e-16
16,data/1_2024/shard-000477.tar,182503,START,mild,4,81,85,341,-38.5,2to4,true,true,0.0012469366192817688,0.0013447403907775879,0,0,0.012662574648857117,0.00120306015015,0.00134357064962,4.387646913176879e-05,1.1697411575878596e-06
17,data/1_2024/shard-000477.tar,183503,START,medium,61,136,197,453,-37.5,2to4,true,true,0.0014242231845855713,0.00058469176292419434,0,0,-0.036941200494766235,0.00142422318459,0.00058469176292400005,-4.4287490341687885e-15,1.9428902930940239e-16
18,data/1_2024/shard-000477.tar,231503,END,mild,24,82,106,362,-29,lt2,false,false,0.0023300051689147949,0.0017248988151550293,0,0,-0.055680066347122192,0.0023300051689100001,0.0017248988151599999,4.7947756875998948e-15,-4.9706332799770436e-15
19,data/1_2024/shard-000477.tar,240503,START,mild,21,60,81,337,-19.5,lt2,false,true,0.0020605325698852539,0.0010924339294433594,0,0,0.029872052371501923,0.0020605325698900001,0.0010924339294400001,-4.7462034302725442e-15,3.3592920112290869e-15
20,data/1_2024/shard-000477.tar,273503,END,mild,27,80,107,363,-26.5,lt2,false,true,-0.00045480579137802124,-0.0015695244073867798,0,0,0.066038094460964203,-0.00045480579137799999,-0.0015695244073900001,-2.1250362580715887e-17,3.2202972927164453e-15
21,data/1_2024/shard-000477.tar,274503,END,mild,26,59,85,341,-16.5,lt2,false,true,0.0019851773977279663,0.00042825192213058472,0,0,-0.0019431263208389282,0.0019851773977299998,0.00042825192213100002,-2.0335295947138121e-15,-4.1530364217057247e-16
22,data/1_2024/shard-000477.tar,278375,END,strong,78,166,244,500,-44,2to4,true,false,0.0079930573701858521,0.0076990947127342224,0,0,-0.051677659153938293,0.0079930573701899998,0.0076990947127300001,-4.1477238310605458e-15,4.2223169405275485e-15
23,data/1_2024/shard-000477.tar,305503,END,strong,13,219,232,488,-103,ge4,true,false,0.0026229992508888245,0.0055161081254482269,0,0,-0.077906936407089233,0.0026229992508900002,0.0055161081254499998,-1.175708835843281e-15,-1.7728873924482969e-15
24,data/1_2024/shard-000477.tar,331503,END,mild,5,97,102,358,-46,2to4,true,false,0.0028335303068161011,0.027913287281990051,0,0,-0.10471838712692261,0.0028583258390399999,0.027882009744599999,-2.4795532223898832e-05,3.127753739005229e-05
25,data/1_2024/shard-000477.tar,335503,END,mild,5,88,93,349,-41.5,2to4,true,true,-0.0017863214015960693,0.0099408924579620361,0,0,-0.011174775660037994,-0.0017863214016,0.0099408924579599996,3.9306665561289478e-15,2.0365653607967715e-15
26,data/1_2024/shard-000477.tar,346503,END,mild,6,102,108,364,-48,2to4,true,true,0.00084760785102844238,0.010028183460235596,0,0,-0.0058930814266204834,0.00084760785102800003,0.010028183460199999,4.4235448637408581e-16,3.5596525727044082e-14
27,data/1_2024/shard-000477.tar,364375,START,mild,6,91,97,353,-42.5,2to4,true,false,0.001434817910194397,0.0077834278345108032,0,0,-0.058058179914951324,0.0014348179101900001,0.0077951475977900003,4.3968734902977147e-15,-1.1719763279197104e-05
28,data/1_2024/shard-000477.tar,406503,END,mild,10,52,62,318,-21,lt2,false,true,0.0019924715161323547,0.00066234171390533447,-8.3595514297485352e-06,0,0.016750484704971313,0.00196727365255,0.000662341713905,2.5197863582354738e-05,3.3447637021177812e-16
29,data/1_2024/shard-000477.tar,448503,START,mild,3,54,57,313,-25.5,lt2,false,true,0.011334151029586792,0.0021586418151855469,0,0,0.0092956870794296265,0.0113341510296,0.0021586418151899999,-1.3208184546087409e-14,-4.4530351628324638e-15
30,data/1_2024/shard-000477.tar,473375,END,mild,19,66,85,341,-23.5,lt2,false,true,0.0046700388193130493,0.0020955651998519897,0,0,0.01467345654964447,0.0046700388193099997,0.00209556519985,3.0496438707672269e-15,1.9897278269453977e-15
31,data/1_2024/shard-000477.tar,476375,START,mild,21,69,90,346,-24,lt2,false,false,0.0015551596879959106,0.014653876423835754,-9.1195106506347656e-06,0,-0.0099463909864425659,0.00152914226055,0.0146132111549,2.6017427445910622e-05,4.0665268935754367e-05
32,data/1_2024/shard-000477.tar,487375,END,mild,25,60,85,341,-17.5,lt2,false,false,0.0012599900364875793,-0.00087548792362213135,0,0,0.001322772353887558,0.0012599900364899999,-0.00087548792362200005,-2.4205897702911372e-15,-1.3129688308799459e-16
